City,Area,Building_Type,Energy_Consumption_Per_SqM,Water_Usage_Per_Building,Waste_Recycled_Percentage,Occupancy_Rate,Smart_Devices_Count,Maintenance_Resolution_Time,Number_of_Residents,Electricity_Bill,Energy_Consumption_Category,Water_Usage_Category,Smart_Devices_Category,Maintenance_Time_Category,Cluster
Bangalore,Yelahanka,Residential,0.0,0.21360135515384615,0.5940213494901352,0.7800175237951039,0.2631578947368421,0.03300544560721956,0.7223340040241449,0.4518394799277063,Low,Medium,Moderate,Fast,0
Bangalore,Whitefield,Institutional,0.8787955365,0.0,0.5688677221096922,0.33415002053500675,0.47368421052631576,0.43491427233697766,0.18108651911468812,0.41491010161644193,High,Low,Moderate,Slow,2
Bangalore,Koramangala,Industrial,0.2437796351,0.0,0.20429567549518698,0.37566003308217144,0.05263157894736842,0.01827167639232255,0.22937625754527163,0.19185080080163502,Low,Low,Few,Fast,0
Bangalore,Jayanagar,Commercial,0.09235345764999997,0.0,0.7103302648838252,0.7134723873648744,0.05263157894736842,0.004880347968738499,0.3179074446680081,0.34592628766211014,Low,Low,Few,Fast,0
Bangalore,HSR Layout,Industrial,0.0,0.11314895730769231,0.32544417117818536,0.9585487342831416,0.9473684210526316,0.03075297389602391,0.517102615694165,0.7479072120771294,Low,Low,Many,Fast,0
Bangalore,HSR Layout,Commercial,0.0,0.0,0.21997909266581692,0.47368168295082735,0.05263157894736842,0.04432816792710216,0.7484909456740443,0.45693773897983464,Low,Low,Few,Fast,0
Bangalore,Indiranagar,Commercial,0.0,0.0,0.15873862702000416,0.9409049752465146,0.3684210526315789,0.022961029067384023,0.6780684104627767,0.5868217085536348,Low,Low,Moderate,Fast,0
Bangalore,Whitefield,Industrial,0.504211574,0.0022636953846153773,0.33251181674467983,0.8649897908692226,0.21052631578947367,0.014455394810004782,0.1790744466800805,0.25352558453006024,High,Low,Moderate,Fast,0
Bangalore,Yelahanka,Commercial,0.09465580760000003,0.0,0.3161628519497298,0.6734419337959653,0.10526315789473684,0.06717496041754009,0.49094567404426565,0.25079574742086586,Low,Low,Few,Medium,0
Bangalore,BTM Layout,Residential,0.21171877315000004,0.04743202284615383,0.1678018210405256,0.4026478213061906,0.21052631578947367,0.025506727275945926,0.5975855130784709,0.21898075585466037,Low,Low,Moderate,Fast,0
