City,Area,Building_Type,Energy_Consumption_Per_SqM,Water_Usage_Per_Building,Waste_Recycled_Percentage,Occupancy_Rate,Smart_Devices_Count,Maintenance_Resolution_Time,Number_of_Residents,Electricity_Bill
Bangalore,Yelahanka,Residential,50,477.6817617,48.41726562,81.81410988,6,7.211768251,360,16408.00877
Bangalore,Whitefield,Institutional,225.7591073,200,46.40551588,45.10899972,10,34.13949198,91,15230.42507
Bangalore,Koramangala,Industrial,98.75592702,200,17.24758534,48.52622473,2,6.22461186,115,8117.632795
Bangalore,Jayanagar,Commercial,68.47069153,200,57.71947984,76.33592063,2,5.327398442,159,13030.70716
Bangalore,HSR Layout,Industrial,50,347.0936445,26.936862,96.51131858,19,7.060853586,258,25848.85374
Bangalore,HSR Layout,Commercial,50,200,18.50192174,56.59565215,2,7.970385923,373,16570.57925
Bangalore,Indiranagar,Commercial,50,200,13.6040003,95.058833,8,6.538796533,338,20712.24782
Bangalore,Whitefield,Industrial,150.8423148,202.942804,27.50212179,88.80927414,5,5.968922586,90,10084.28437
Bangalore,Yelahanka,Commercial,68.93116152,200,26.19455588,73.04049722,3,9.501111489,245,9997.236826
Bangalore,BTM Layout,Residential,92.34375463,261.6616297,14.32886109,50.74793798,5,6.709357251,298,8982.737877
Bangalore,Whitefield,Residential,50,200,14.04757035,51.16045204,4,8.946627354,31,8341.155048
Bangalore,Hebbal,Industrial,250,479.192187,29.21471338,99.28469117,2,11.5417982,317,6888.007516
Bangalore,Malleshwaram,Institutional,133.9822158,200,21.83001025,47.90426227,10,11.11396037,358,16166.0728
Bangalore,Koramangala,Residential,50,200,48.14605832,50.4176664,4,6.69800104,312,13220.90582
Bangalore,Koramangala,Industrial,50,200,30.80163474,71.08690166,6,8.22730348,470,19377.47442
Bangalore,Whitefield,Commercial,50,200,47.17553973,78.19384166,2,7.202697342,228,13448.01758
Bangalore,HSR Layout,Residential,50,200,17.75353581,66.77496131,9,14.78115812,339,2983.801045
Bangalore,HSR Layout,Industrial,55.79458731,200,27.29288965,80.38048286,3,15.20456675,128,17218.084
Bangalore,BTM Layout,Industrial,50,274.902631,12.68813284,55.16692672,8,6.507342455,270,4847.932121
Bangalore,Hebbal,Institutional,50,200,72.70594617,85.65891206,3,5.325938414,270,16071.97174
Bangalore,Koramangala,Commercial,70.97781554,356.2152343,8.4744423,74.39794347,1,5.630481348,498,11143.21232
Bangalore,BTM Layout,Commercial,50,590.0962513,19.35741929,91.30564672,4,6.646600048,413,16162.55017
Bangalore,HSR Layout,Commercial,50,454.0351916,11.39909952,61.07926024,2,8.190285213,209,7781.907214
Bangalore,Yelahanka,Industrial,50,200,42.39949616,54.9941497,5,9.28275856,178,18891.62762
Bangalore,BTM Layout,Industrial,50,200,17.28156935,68.65195558,5,6.435933125,306,15188.04723
Bangalore,Malleshwaram,Commercial,115.3452008,200,9.433673537,61.80140441,9,9.43452178,191,13278.9846
Bangalore,HSR Layout,Industrial,50,200,43.10713036,93.78018854,11,20.23075559,357,6526.247376
Bangalore,Banashankari,Institutional,54.15218663,1295.154797,17.30445828,63.26538727,4,9.217158186,457,24052.67421
Bangalore,Hebbal,Industrial,67.3128541,200,13.22473709,98.05351268,6,5.592370958,449,10466.03642
Bangalore,Jayanagar,Industrial,50,207.2777869,43.87585011,73.71630778,3,8.349638221,68,16314.70389
Bangalore,Koramangala,Residential,70.14997655,288.8227305,8.032820223,87.56340916,6,7.972145742,327,10255.60528
Bangalore,Indiranagar,Institutional,50,363.6669945,18.94219343,67.0197491,7,14.7757949,267,33887.44988
Bangalore,Malleshwaram,Residential,50,246.0547272,42.95383614,93.33434518,3,6.545951402,270,15747.10685
Bangalore,Electronic City,Commercial,223.0265845,200,5.123054705,85.40186986,7,7.011421765,362,11926.56104
Bangalore,Jayanagar,Commercial,250,200,24.75430792,66.08507802,7,8.556955709,467,18028.79399
Bangalore,Indiranagar,Institutional,123.924868,218.7639281,46.33510909,97.32157644,5,7.81131637,360,18750.30899
Bangalore,HSR Layout,Industrial,50,200,37.06041496,69.35730638,9,10.26768209,387,16972.99468
Bangalore,Electronic City,Residential,50,200,24.92853794,71.2205175,2,5.138372863,128,13382.41278
Bangalore,Whitefield,Institutional,86.45630723,200,22.28193357,84.8597757,4,8.182888034,264,17202.53586
Bangalore,Whitefield,Residential,50,200,18.99547075,70.04343188,4,5.441937108,221,14223.29223
Bangalore,Malleshwaram,Industrial,50,200,46.66101043,46.0378284,7,6.34524774,242,14873.53403
Bangalore,Whitefield,Residential,51.26604211,200,12.28122371,98.32082745,1,9.350533279,485,11072.94003
Bangalore,Electronic City,Institutional,50,251.4802212,1.183890114,60.86072504,2,5.587545463,244,7682.81922
Bangalore,Electronic City,Industrial,180.0317166,350.8375689,13.80923869,53.97216647,4,6.310301596,427,17816.235
Bangalore,Hebbal,Industrial,50,483.7127157,28.45590535,88.11324159,4,9.988252821,393,18031.50092
Bangalore,Jayanagar,Institutional,81.46918489,200,52.27340801,80.22495393,8,9.200732991,19,21483.19385
Bangalore,Koramangala,Industrial,50,200,21.29733028,77.47336031,15,5.323295444,396,15242.57331
Bangalore,Banashankari,Residential,55.05831719,200,10.96992462,83.9822201,3,8.324322249,155,13921.33146
Bangalore,BTM Layout,Commercial,59.34178485,303.5352344,6.834948187,93.43379338,5,5.54533016,229,7950.935487
Bangalore,Whitefield,Institutional,50,367.7384819,41.16185264,86.29793256,1,6.017557652,368,14802.38077
Bangalore,Malleshwaram,Residential,250,200,13.4650242,44.70466218,6,7.274132057,58,16800.99068
Bangalore,Whitefield,Industrial,111.9184033,825.6582163,20.53849889,39.37170594,4,5.393547207,281,5901.3068
Bangalore,BTM Layout,Commercial,210.3820814,200,33.92644746,91.66740803,3,48.99327249,45,20345.11145
Bangalore,Jayanagar,Residential,168.9113998,233.8052664,15.32520284,99.92370738,3,5.621077885,102,11439.81257
Bangalore,Yelahanka,Institutional,68.32908093,370.3920012,63.9698122,88.49468536,9,11.59811484,48,14019.49859
Bangalore,Hebbal,Industrial,191.2076534,614.3110657,42.89456432,72.53115285,5,13.04595452,50,17988.85325
Bangalore,Electronic City,Institutional,50,375.6202419,20.29606617,80.83795637,1,51.5284641,81,14963.4341
Bangalore,Hebbal,Residential,50,485.4347618,49.19384538,75.88269946,2,7.05128632,300,22016.80579
Bangalore,HSR Layout,Commercial,50,200,23.96547307,83.55515926,1,14.95193965,59,18144.03075
Bangalore,Whitefield,Residential,50,505.9363708,4.610590028,85.17047199,1,23.66408551,161,14258.33947
Bangalore,Koramangala,Residential,50,200,21.79244089,77.97008019,6,5.653189072,103,2000
Bangalore,Yelahanka,Industrial,50,675.6150956,21.4989755,76.18765525,7,7.431073888,334,19980.93336
Bangalore,HSR Layout,Institutional,132.3418399,237.9515049,31.49147251,91.14335321,6,5.20843219,412,9102.214892
Bangalore,Jayanagar,Residential,50,509.9692829,39.37829548,70.48903366,6,8.814915003,274,19259.32463
Bangalore,Whitefield,Residential,50,200,23.97249797,71.50309055,2,8.368080575,183,17450.94637
Bangalore,HSR Layout,Commercial,58.68053124,309.4917005,17.80401129,88.40744567,4,5.79075783,417,14006.07009
Bangalore,Whitefield,Commercial,50,224.2193442,35.96812797,93.10155621,4,12.0404034,116,19766.45627
Bangalore,Malleshwaram,Institutional,121.5362697,394.5713505,5.868874211,90.70717304,2,5.12740799,362,17605.19879
Bangalore,Jayanagar,Institutional,50,200,44.23528979,84.98472284,7,12.28101131,399,16641.81198
Bangalore,Banashankari,Industrial,250,200,42.88759572,87.12594867,6,5.090428792,445,6418.364452
Bangalore,Yelahanka,Institutional,110.9612832,200,29.85667323,68.37512976,4,9.283338457,267,15199.2412
Bangalore,Electronic City,Commercial,50,200,12.5340255,55.04820491,9,5.277257376,164,8785.869708
Bangalore,Indiranagar,Institutional,50,616.2106671,19.74092079,38.77158682,5,6.012425629,143,9520.311102
Bangalore,Electronic City,Residential,126.7422583,200,47.98650616,89.66832181,7,10.32051224,437,13194.28783
Bangalore,Electronic City,Institutional,92.03219305,1117.230843,6.423019594,80.96519853,4,6.159307562,318,22317.08724
Bangalore,HSR Layout,Institutional,97.92471816,200,31.25413596,70.1590982,2,7.694488,304,16826.95392
Bangalore,Yelahanka,Industrial,110.6410895,200,9.504926054,86.84707725,2,17.76584677,94,17156.34221
Bangalore,Jayanagar,Residential,50,467.7639293,32.58849754,61.37685146,3,5.171142924,250,18852.13386
Bangalore,Yelahanka,Industrial,50,322.5048616,24.93819557,92.97961961,4,12.42771823,399,10626.59849
Bangalore,Yelahanka,Commercial,50,206.8635326,40.9522715,23.85527458,2,5.227549317,447,7117.950961
Bangalore,Whitefield,Institutional,149.1397179,243.1494897,64.76793134,68.61179597,8,5.46231768,497,6230.085896
Bangalore,Hebbal,Institutional,73.22258938,381.0356819,27.73624082,98.89171425,1,5.432630072,343,16155.35537
Bangalore,Yelahanka,Commercial,50,200,17.5818612,58.34146921,3,50.34843711,427,19933.4561
Bangalore,Indiranagar,Industrial,50,1500,10.79477291,91.84251844,5,5.684682289,306,19563.7489
Bangalore,BTM Layout,Residential,50,1104.191993,32.97622658,81.44429113,3,16.31669756,316,10844.76076
Bangalore,HSR Layout,Industrial,50,315.225927,42.68439486,86.85920299,6,42.95480149,240,21777.47766
Bangalore,Indiranagar,Industrial,98.0906838,200,52.74741777,89.14102628,6,6.751388677,59,25215.21122
Bangalore,Banashankari,Residential,76.11670192,342.0443386,39.14443243,56.25946165,1,8.942594293,15,18038.1588
Bangalore,Malleshwaram,Institutional,163.6688934,200,4.64743324,91.64402685,2,11.54229253,285,22436.39814
Bangalore,Jayanagar,Industrial,50,200,24.19322406,69.82138607,3,6.808257518,203,19365.77802
Bangalore,Yelahanka,Commercial,50,200,36.18595858,86.94744525,4,5.606039089,237,13851.42203
Bangalore,BTM Layout,Residential,93.68447582,200,20.13177766,74.58406055,5,7.087426688,466,11677.09092
Bangalore,HSR Layout,Institutional,107.2794565,608.1059776,30.33695998,94.00853606,4,11.36629584,296,6934.609232
Bangalore,Yelahanka,Residential,61.79156212,389.6708936,70.16664786,98.40528191,2,11.58422673,287,12776.18709
Bangalore,Electronic City,Commercial,110.5417475,407.2613714,48.60781403,89.42823071,10,5.912839219,73,13815.84271
Bangalore,Koramangala,Residential,51.06110486,200,33.91465566,69.94923635,8,5.662097624,214,13926.36303
Bangalore,HSR Layout,Residential,55.47591291,200,4.928899617,91.10042412,4,18.26241866,11,14437.09268
Bangalore,Koramangala,Industrial,50,200,37.16785287,64.80817205,4,5.151118302,337,3531.513749
Bangalore,Electronic City,Commercial,50,1318.219167,32.75587683,91.49017422,2,10.56354694,225,18895.14769
Bangalore,Malleshwaram,Commercial,50,200,33.46719886,94.85034232,2,5.159706588,318,19475.43418
Bangalore,Jayanagar,Commercial,50,605.2928975,15.23136953,79.49293739,8,13.34026925,203,16855.15608
Bangalore,Whitefield,Residential,75.87971632,259.3055224,32.95327466,95.52573826,3,16.94786557,231,9153.272681
Bangalore,HSR Layout,Commercial,50,200,2.028770672,93.58772306,6,6.248671273,392,16834.92878
Bangalore,Hebbal,Commercial,53.28278829,387.5764702,9.594303037,83.37580296,2,5.259344431,51,15113.05012
Bangalore,Electronic City,Commercial,178.5949147,200.0502911,21.75235174,53.37686766,11,7.441027453,57,17372.41348
Bangalore,HSR Layout,Industrial,50,620.0719024,19.16088872,58.69437334,2,6.254247985,132,22755.61295
Bangalore,Yelahanka,Commercial,50,692.8885439,52.67666219,87.44355353,2,6.971382061,420,14107.65503
Bangalore,Banashankari,Residential,105.6561861,200,19.33616326,93.77632468,6,9.398329624,403,15907.62748
Bangalore,Malleshwaram,Industrial,50,200,17.63733521,73.27604422,7,5.816641304,280,10678.19249
Bangalore,Yelahanka,Commercial,50,269.2041366,12.80982386,84.04717788,9,6.585606465,297,19608.3816
Bangalore,Banashankari,Commercial,50,730.3667819,33.97824552,88.16586678,3,11.62985688,305,18513.68336
Bangalore,Indiranagar,Industrial,50,200,64.7544316,95.7775958,7,9.106520306,466,16082.80274
Bangalore,Jayanagar,Commercial,199.1212564,292.6264373,17.61382892,78.73554723,3,6.407029145,225,9734.345585
Bangalore,Indiranagar,Residential,123.816531,299.5434001,60.90683351,98.43926731,7,9.388546003,174,11583.48336
Bangalore,HSR Layout,Residential,75.26206429,396.2790045,36.22944774,91.22732678,4,11.21201292,292,5843.706811
Bangalore,BTM Layout,Commercial,153.8639798,200,8.644814337,51.12261189,2,8.48814854,266,11524.48669
Bangalore,BTM Layout,Residential,122.0976706,377.4494727,26.66448365,85.47642124,8,5.955519871,247,18546.83697
